D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 1000000 env-steps
step   302000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.46 (max 4) |  477.5 st/s
step   304000 | loss 0.0422 | eps 0.050 | buf  100000 | score50   0.34 (max 4) |  478.0 st/s
step   306000 | loss 0.0327 | eps 0.050 | buf  100000 | score50   0.30 (max 3) |  478.8 st/s
step   308000 | loss 0.0023 | eps 0.050 | buf  100000 | score50   0.28 (max 2) |  479.6 st/s
step   310000 | loss 0.0029 | eps 0.050 | buf  100000 | score50   0.28 (max 2) |  480.1 st/s
step   312000 | loss 0.0037 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  480.9 st/s
step   314000 | loss 0.0020 | eps 0.050 | buf  100000 | score50   0.28 (max 3) |  481.8 st/s
step   316000 | loss 0.0506 | eps 0.050 | buf  100000 | score50   0.30 (max 3) |  482.5 st/s
step   318000 | loss 0.0035 | eps 0.050 | buf  100000 | score50   0.38 (max 4) |  483.1 st/s
step   320000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.38 (max 4) |  483.9 st/s
step   322000 | loss 0.0036 | eps 0.050 | buf  100000 | score50   0.42 (max 4) |  484.7 st/s
step   324000 | loss 0.0021 | eps 0.050 | buf  100000 | score50   0.54 (max 4) |  485.2 st/s
  >> EVAL @ 325000: mean=32.89 max=94 (best_mean=61.80)
step   326000 | loss 0.0018 | eps 0.050 | buf  100000 | score50   0.52 (max 4) |  464.3 st/s
step   328000 | loss 0.0240 | eps 0.050 | buf  100000 | score50   0.56 (max 4) |  465.1 st/s
step   330000 | loss 0.0064 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  465.9 st/s
step   332000 | loss 0.0028 | eps 0.050 | buf  100000 | score50   0.34 (max 3) |  466.3 st/s
step   334000 | loss 0.0023 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  467.0 st/s
step   336000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.36 (max 2) |  467.8 st/s
step   338000 | loss 0.0028 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  468.5 st/s
step   340000 | loss 0.0539 | eps 0.050 | buf  100000 | score50   0.34 (max 4) |  469.0 st/s
step   342000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.28 (max 4) |  469.8 st/s
step   344000 | loss 0.0018 | eps 0.050 | buf  100000 | score50   0.30 (max 4) |  470.5 st/s
step   346000 | loss 0.0028 | eps 0.050 | buf  100000 | score50   0.36 (max 4) |  471.0 st/s
step   348000 | loss 0.0021 | eps 0.050 | buf  100000 | score50   0.32 (max 4) |  471.8 st/s
step   350000 | loss 0.0043 | eps 0.050 | buf  100000 | score50   0.30 (max 4) |  472.4 st/s
  >> EVAL @ 350000: mean=16.00 max=47 (best_mean=61.80)
step   352000 | loss 0.0078 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  455.0 st/s
step   354000 | loss 0.0026 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  455.8 st/s
step   356000 | loss 0.0032 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  456.5 st/s
step   358000 | loss 0.0053 | eps 0.050 | buf  100000 | score50   0.28 (max 2) |  457.0 st/s
step   360000 | loss 0.0036 | eps 0.050 | buf  100000 | score50   0.50 (max 6) |  457.6 st/s
step   362000 | loss 0.0064 | eps 0.050 | buf  100000 | score50   0.52 (max 6) |  458.3 st/s
step   364000 | loss 0.0047 | eps 0.050 | buf  100000 | score50   0.46 (max 6) |  458.7 st/s
step   366000 | loss 0.0027 | eps 0.050 | buf  100000 | score50   0.44 (max 6) |  459.3 st/s
step   368000 | loss 0.0027 | eps 0.050 | buf  100000 | score50   0.26 (max 3) |  459.9 st/s
step   370000 | loss 0.0507 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  460.6 st/s
step   372000 | loss 0.0028 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  461.1 st/s
step   374000 | loss 0.0511 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  461.5 st/s
  >> EVAL @ 375000: mean=0.25 max=3 (best_mean=61.80)
step   376000 | loss 0.0023 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  460.9 st/s
step   378000 | loss 0.0017 | eps 0.050 | buf  100000 | score50   0.30 (max 2) |  461.5 st/s
step   380000 | loss 0.0032 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  461.8 st/s
step   382000 | loss 0.0941 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  462.5 st/s
